ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
1,141093,147071,73510,70863,AIPAC,Associate,6,3,Positive,CPG,Junior,Junior,Cubicle,37,Ineligible
2,134341,149679,62839,77867,AIPAC,Associate,4,3,Positive,Pharma,Junior,Junior,Cubicle,39,Ineligible
4,83067,89087,22721,29701,AIPAC,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,36,Ineligible
6,90936,98064,30139,29756,AIPAC,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,11,Ineligible
11,65837,66700,20134,20282,AIPAC,Analyst,3,0,Negative,Automotive,Junior,Junior,Cubicle,34,Ineligible
14,67499,75793,18998,20929,AIPAC,Analyst,1,0,Neutral,Automotive,Junior,Junior,Cubicle,33,Ineligible
20,54731,59821,13309,15984,AIPAC,Analyst,1,0,Neutral,Retail,Junior,Junior,Cubicle,38,Ineligible
23,131603,150213,66869,76113,AIPAC,Associate,5,3,Positive,Pharma,Junior,Junior,Cubicle,32,Ineligible
28,385555,445924,320511,350218,AIPAC,VP,13,26,Neutral,Law,VP,Senior,Shared,20,Ineligible
33,93331,107078,25066,29701,AIPAC,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,34,Ineligible
49,118512,129137,61458,55458,AIPAC,Associate,3,3,Neutral,Real Estate,Junior,Junior,Cubicle,40,Ineligible
54,447487,505134,357873,424795,AIPAC,VP,14,30,Positive,Real Estate,VP,Senior,Shared,4,Ineligible
55,112838,112507,59934,61891,AIPAC,Associate,5,3,Negative,Automotive,Junior,Junior,Cubicle,39,Ineligible
57,423228,495917,340867,378089,AIPAC,VP,11,32,Neutral,Media,VP,Senior,Shared,2,Ineligible
58,65487,66884,18237,19416,AIPAC,Analyst,1,0,Neutral,Industrials,Junior,Junior,Cubicle,31,Ineligible
61,469547,528933,408079,427198,AIPAC,VP,13,33,Positive,Law,VP,Senior,Shared,3,Ineligible
66,78203,86907,22099,25285,AIPAC,Analyst,2,0,Positive,Automotive,Junior,Junior,Cubicle,15,Ineligible
70,67631,65564,18665,20400,AIPAC,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,37,Ineligible
73,71633,72357,21533,19136,AIPAC,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,10,Ineligible
75,130092,129190,63588,65769,AIPAC,Associate,5,4,Neutral,Retail,Junior,Junior,Cubicle,26,Ineligible
79,384778,424038,319861,322988,AIPAC,VP,12,26,Neutral,CPG,VP,Senior,Shared,10,Ineligible
81,104782,112282,55250,53285,AIPAC,Associate,4,2,Neutral,Automotive,Junior,Junior,Cubicle,14,Ineligible
82,82721,90853,28895,28399,AIPAC,Analyst,3,0,Neutral,Tech,Junior,Junior,Cubicle,19,Ineligible
85,67389,69215,18268,24401,AIPAC,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,35,Ineligible
93,81022,88333,21344,24962,AIPAC,Analyst,2,0,Positive,Industrials,Junior,Junior,Cubicle,5,Ineligible
94,67802,77104,17510,25855,AIPAC,Analyst,1,0,Neutral,Aerospace,Junior,Junior,Cubicle,4,Ineligible
99,84633,88392,24941,29755,AIPAC,Analyst,2,0,Positive,CPG,Junior,Junior,Cubicle,45,Ineligible
100,129125,142876,67009,69308,AIPAC,Associate,6,2,Positive,Real Estate,Junior,Junior,Cubicle,26,Ineligible
101,3101143,4037750,9357639,12036180,AIPAC,MD,24,326,Neutral,Automotive,Executive,Senior,Corner,37,Eligible
107,81564,93435,23908,29432,AIPAC,Analyst,1,0,Positive,Retail,Junior,Junior,Cubicle,36,Ineligible
110,62928,68162,19483,23321,AIPAC,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,29,Ineligible
126,438018,508201,355257,420990,AIPAC,VP,15,29,Positive,Automotive,VP,Senior,Shared,38,Ineligible
128,419969,474168,327895,373467,AIPAC,VP,12,30,Neutral,Law,VP,Senior,Shared,5,Ineligible
143,87888,94009,26579,31312,AIPAC,Analyst,3,0,Positive,Industrials,Junior,Junior,Cubicle,47,Ineligible
147,110015,110594,54788,57781,AIPAC,Associate,5,1,Neutral,Pharma,Junior,Junior,Cubicle,41,Ineligible
153,390085,422593,306199,345215,AIPAC,VP,10,27,Positive,Media,VP,Senior,Shared,22,Ineligible
155,64464,70176,17169,19949,AIPAC,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,47,Ineligible
156,121063,125228,57647,65888,AIPAC,Associate,4,2,Positive,Aerospace,Junior,Junior,Cubicle,47,Ineligible
160,127039,121067,69864,61706,AIPAC,Associate,4,4,Neutral,Aerospace,Junior,Junior,Cubicle,15,Ineligible
163,66651,70160,20469,17049,AIPAC,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,45,Ineligible
167,131684,143509,62653,69976,AIPAC,Associate,6,4,Negative,Pharma,Junior,Junior,Cubicle,1,Ineligible
168,89245,92452,23689,24297,AIPAC,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,33,Ineligible
