ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
13,58695,65477,18456,19956,Europe,Analyst,1,0,Neutral,CPG,Junior,Junior,Cubicle,3,Ineligible
34,65402,67742,18966,25130,Europe,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,17,Ineligible
50,68275,70556,22306,20814,Europe,Analyst,3,0,Neutral,Aerospace,Junior,Junior,Cubicle,41,Ineligible
63,62560,64488,18437,21546,Europe,Analyst,1,0,Neutral,Automotive,Junior,Junior,Cubicle,30,Ineligible
65,82710,87712,25938,27523,Europe,Analyst,3,0,Positive,CPG,Junior,Junior,Cubicle,7,Ineligible
98,70296,74480,21030,23868,Europe,Analyst,3,0,Neutral,Aerospace,Junior,Junior,Cubicle,40,Ineligible
109,61875,69631,19206,20611,Europe,Analyst,1,0,Neutral,Retail,Junior,Junior,Cubicle,4,Ineligible
125,96212,111711,49110,58629,Europe,Associate,3,2,Neutral,Aerospace,Junior,Junior,Cubicle,3,Ineligible
127,79765,89449,27788,27072,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,6,Ineligible
130,85091,87326,25185,29826,Europe,Analyst,2,0,Positive,CPG,Junior,Junior,Cubicle,13,Ineligible
133,66706,65309,18380,20257,Europe,Analyst,3,0,Neutral,Media,Junior,Junior,Cubicle,10,Ineligible
135,65501,68773,20384,17435,Europe,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,40,Ineligible
136,64654,75341,18922,22898,Europe,Analyst,1,0,Neutral,Real Estate,Junior,Junior,Cubicle,34,Ineligible
139,75461,77843,21283,24886,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,30,Ineligible
144,123383,135434,59855,68669,Europe,Associate,6,2,Positive,Automotive,Junior,Junior,Cubicle,1,Ineligible
161,64262,68364,20737,22173,Europe,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,14,Ineligible
192,426952,482363,337825,397262,Europe,VP,10,33,Neutral,Automotive,VP,Senior,Shared,39,Ineligible
198,67246,68023,19136,21511,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,28,Ineligible
233,57464,60104,16180,18735,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,6,Ineligible
235,69045,70536,17511,19191,Europe,Analyst,2,0,Neutral,Aerospace,Junior,Junior,Cubicle,22,Ineligible
250,79984,83589,24997,25961,Europe,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,13,Ineligible
261,58768,63767,15986,14720,Europe,Analyst,1,0,Neutral,Real Estate,Junior,Junior,Cubicle,18,Ineligible
267,70313,76506,19902,23030,Europe,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,14,Ineligible
279,79671,81580,25203,27935,Europe,Analyst,1,0,Positive,Tech,Junior,Junior,Cubicle,10,Ineligible
284,125812,128703,54882,64945,Europe,Associate,6,2,Positive,Media,Junior,Junior,Cubicle,3,Ineligible
285,63016,63884,20377,24020,Europe,Analyst,2,0,Neutral,Aerospace,Junior,Junior,Cubicle,4,Ineligible
301,63493,66320,18618,19673,Europe,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,43,Ineligible
310,91131,97594,25192,26692,Europe,Analyst,3,0,Positive,Automotive,Junior,Junior,Cubicle,42,Ineligible
321,81719,82921,27450,26382,Europe,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,6,Ineligible
329,61194,63413,15732,18939,Europe,Analyst,1,0,Neutral,Law,Junior,Junior,Cubicle,13,Ineligible
335,401963,404451,327219,324360,Europe,VP,13,26,Positive,CPG,VP,Senior,Shared,43,Ineligible
356,83392,82988,27363,24998,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,39,Ineligible
381,419903,476346,325971,378913,Europe,VP,13,29,Positive,Tech,VP,Senior,Shared,1,Ineligible
385,68277,70215,20818,17509,Europe,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,39,Ineligible
391,52267,57052,17582,19138,Europe,Analyst,1,0,Negative,Automotive,Junior,Junior,Cubicle,47,Ineligible
429,53653,59151,16087,18860,Europe,Analyst,2,0,Negative,Industrials,Junior,Junior,Cubicle,37,Ineligible
444,68449,72286,20519,19951,Europe,Analyst,1,0,Positive,Automotive,Junior,Junior,Cubicle,17,Ineligible
451,137644,147747,63300,73433,Europe,Associate,5,4,Positive,Media,Junior,Junior,Cubicle,11,Ineligible
452,77519,72537,22135,19603,Europe,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,29,Ineligible
465,374844,421173,303168,337444,Europe,VP,9,28,Negative,Media,VP,Senior,Shared,8,Ineligible
472,56279,58953,16419,17555,Europe,Analyst,1,0,Neutral,Aerospace,Junior,Junior,Cubicle,27,Ineligible
473,355682,393193,285848,319281,Europe,VP,9,26,Neutral,Real Estate,VP,Senior,Shared,28,Ineligible
479,84205,93393,21912,24615,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,20,Ineligible
493,68659,72022,20700,23618,Europe,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,7,Ineligible
495,3252295,4121554,9791174,12344432,Europe,MD,21,344,Positive,Pharma,Executive,Senior,Corner,5,Eligible
496,399958,457593,312607,369668,Europe,VP,12,27,Positive,Industrials,VP,Senior,Shared,6,Ineligible
512,111708,122646,55785,55392,Europe,Associate,4,3,Neutral,Tech,Junior,Junior,Cubicle,21,Ineligible
521,73479,79133,22870,24118,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,35,Ineligible
533,381192,420847,305013,321192,Europe,VP,11,28,Negative,Retail,VP,Senior,Shared,25,Ineligible
537,61839,63990,18318,18337,Europe,Analyst,1,0,Neutral,CPG,Junior,Junior,Cubicle,2,Ineligible
541,72516,78785,21366,24308,Europe,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,24,Ineligible
546,61129,63181,16270,21153,Europe,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,15,Ineligible
