ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
8,88556,90005,24647,26814,North America,Analyst,2,0,Positive,Industrials,Junior,Junior,Cubicle,12,Ineligible
22,146698,160216,78273,75412,North America,Associate,5,5,Neutral,Media,Junior,Junior,Cubicle,34,Ineligible
25,81131,83162,29227,28260,North America,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,26,Ineligible
29,116933,140666,53635,79755,North America,Associate,4,2,Neutral,Real Estate,Junior,Junior,Cubicle,21,Ineligible
37,490075,551834,395768,418633,North America,VP,15,34,Positive,Automotive,VP,Senior,Shared,31,Ineligible
38,92897,100892,26233,32814,North America,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,31,Ineligible
43,133024,146234,66943,67010,North America,Associate,5,3,Neutral,Real Estate,Junior,Junior,Cubicle,18,Ineligible
48,103950,112357,34468,36144,North America,Analyst,3,0,Positive,Media,Junior,Junior,Cubicle,27,Ineligible
51,74056,71543,21875,20371,North America,Analyst,1,0,Neutral,Media,Junior,Junior,Cubicle,10,Ineligible
53,77073,83184,24734,25994,North America,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,18,Ineligible
64,71479,72971,24940,21134,North America,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,2,Ineligible
67,423508,471808,344214,376227,North America,VP,10,29,Positive,Industrials,VP,Senior,Shared,17,Ineligible
68,149119,174186,69244,81081,North America,Associate,6,3,Positive,Pharma,Junior,Junior,Cubicle,12,Ineligible
69,485642,556392,378540,437331,North America,VP,13,36,Neutral,Retail,VP,Senior,Shared,6,Ineligible
74,73039,75132,19679,21590,North America,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,28,Ineligible
78,97869,99746,30584,27839,North America,Analyst,2,0,Positive,Industrials,Junior,Junior,Cubicle,3,Ineligible
80,104899,108906,31909,29829,North America,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,4,Ineligible
87,459535,512862,357762,397192,North America,VP,14,31,Positive,Pharma,VP,Senior,Shared,29,Ineligible
97,159386,169834,77834,90935,North America,Associate,6,3,Positive,Real Estate,Junior,Junior,Cubicle,11,Ineligible
108,396736,430111,312981,337897,North America,VP,11,27,Neutral,Law,VP,Senior,Shared,16,Ineligible
112,82081,90764,25196,24824,North America,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,42,Ineligible
113,72479,76330,24371,25607,North America,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,30,Ineligible
114,68006,75905,20089,24716,North America,Analyst,1,0,Neutral,Industrials,Junior,Junior,Cubicle,42,Ineligible
115,134924,156326,65725,84956,North America,Associate,5,3,Neutral,Real Estate,Junior,Junior,Cubicle,37,Ineligible
117,70339,75455,26714,25060,North America,Analyst,2,0,Negative,Automotive,Junior,Junior,Cubicle,25,Ineligible
119,390151,455254,320046,366498,North America,VP,7,28,Positive,Tech,VP,Senior,Shared,4,Ineligible
120,93649,95313,24546,31767,North America,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,45,Ineligible
132,82143,82100,20379,18844,North America,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,24,Ineligible
134,433355,490424,344867,389836,North America,VP,12,29,Positive,Retail,VP,Senior,Shared,25,Ineligible
141,76419,78027,22924,21122,North America,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,34,Ineligible
142,3473435,4543096,10415292,13638611,North America,MD,20,370,Positive,Tech,Executive,Senior,Corner,29,Ineligible
148,90287,101113,22270,29107,North America,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,13,Ineligible
150,86357,89395,22634,31318,North America,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,47,Ineligible
157,85027,94412,26873,29222,North America,Analyst,1,0,Positive,Real Estate,Junior,Junior,Cubicle,33,Ineligible
175,93926,97178,30340,28788,North America,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,9,Ineligible
177,155501,167125,73955,84716,North America,Associate,5,4,Positive,CPG,Junior,Junior,Cubicle,7,Ineligible
180,116357,118602,51738,52812,North America,Associate,6,1,Neutral,Media,Junior,Junior,Cubicle,13,Ineligible
181,70987,75718,23503,21983,North America,Analyst,1,0,Neutral,Real Estate,Junior,Junior,Cubicle,29,Ineligible
182,74736,76817,20624,22225,North America,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,47,Ineligible
185,124288,130064,65308,67392,North America,Associate,6,1,Neutral,Real Estate,Junior,Junior,Cubicle,2,Ineligible
186,504524,561401,360176,423329,North America,VP,15,37,Neutral,Aerospace,VP,Senior,Shared,22,Ineligible
189,71642,75791,23795,23924,North America,Analyst,1,0,Neutral,Law,Junior,Junior,Cubicle,26,Ineligible
194,147290,161349,80979,82899,North America,Associate,6,4,Neutral,Pharma,Junior,Junior,Cubicle,42,Ineligible
