ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
3,142099,151811,73877,83961,Switzerland,Associate,4,2,Positive,Aerospace,Junior,Junior,Cubicle,24,Ineligible
7,92179,94064,31903,29218,Switzerland,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,14,Ineligible
9,101439,106061,29538,31024,Switzerland,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,6,Ineligible
10,85647,90623,25603,22792,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,44,Ineligible
19,91001,98224,25667,31190,Switzerland,Analyst,1,0,Positive,Pharma,Junior,Junior,Cubicle,44,Ineligible
24,432242,465603,328602,364938,Switzerland,VP,13,29,Positive,Automotive,VP,Senior,Shared,13,Ineligible
26,96991,100295,28937,24851,Switzerland,Analyst,2,0,Positive,Aerospace,Junior,Junior,Cubicle,33,Ineligible
27,433736,497736,374174,411142,Switzerland,VP,12,30,Neutral,Real Estate,VP,Senior,Shared,18,Ineligible
30,137081,142284,62748,70353,Switzerland,Associate,6,2,Neutral,Law,Junior,Junior,Cubicle,45,Ineligible
35,85440,82386,23984,25603,Switzerland,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,47,Ineligible
36,83776,92082,23489,28726,Switzerland,Analyst,2,0,Negative,Automotive,Junior,Junior,Cubicle,47,Ineligible
40,86834,87811,20252,21659,Switzerland,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,29,Ineligible
44,431164,471583,339496,370293,Switzerland,VP,14,30,Negative,Real Estate,VP,Senior,Shared,4,Ineligible
45,84077,92519,22695,20212,Switzerland,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,7,Ineligible
52,84939,88792,22452,28932,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,22,Ineligible
56,86666,87473,28258,24304,Switzerland,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,9,Ineligible
77,82311,88331,24180,28892,Switzerland,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,23,Ineligible
84,434009,493169,341839,390170,Switzerland,VP,11,30,Positive,Pharma,VP,Senior,Shared,7,Ineligible
88,106191,97020,32637,28991,Switzerland,Analyst,3,0,Positive,Automotive,Junior,Junior,Cubicle,16,Ineligible
90,86900,85801,29780,29224,Switzerland,Analyst,1,0,Positive,Industrials,Junior,Junior,Cubicle,5,Ineligible
104,70083,73452,23635,19366,Switzerland,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,22,Ineligible
118,96977,106750,32606,32111,Switzerland,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,22,Ineligible
123,154518,168762,77340,89554,Switzerland,Associate,6,3,Positive,Automotive,Junior,Junior,Cubicle,42,Ineligible
129,99323,96167,26487,30936,Switzerland,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,33,Ineligible
131,452523,514589,369459,422546,Switzerland,VP,11,31,Positive,CPG,VP,Senior,Shared,9,Ineligible
158,90490,93596,30471,26840,Switzerland,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,31,Ineligible
162,143053,147518,81297,71801,Switzerland,Associate,5,4,Neutral,Tech,Junior,Junior,Cubicle,20,Ineligible
164,441142,482918,360494,361698,Switzerland,VP,13,30,Neutral,Pharma,VP,Senior,Shared,21,Ineligible
169,150696,159982,81151,76704,Switzerland,Associate,5,5,Neutral,Tech,Junior,Junior,Cubicle,21,Ineligible
174,74862,73549,23124,24442,Switzerland,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,42,Ineligible
176,83353,89450,26939,30275,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,19,Ineligible
178,481203,559408,363117,433630,Switzerland,VP,12,34,Positive,Aerospace,VP,Senior,Shared,24,Ineligible
183,145782,163594,70968,82424,Switzerland,Associate,4,5,Neutral,CPG,Junior,Junior,Cubicle,24,Ineligible
188,88661,90113,26661,26480,Switzerland,Analyst,3,0,Neutral,CPG,Junior,Junior,Cubicle,38,Ineligible
193,157463,156711,88808,79962,Switzerland,Associate,5,3,Positive,Automotive,Junior,Junior,Cubicle,32,Ineligible
196,80848,85381,27684,24534,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,39,Ineligible
197,436917,471265,353897,356591,Switzerland,VP,11,30,Positive,Automotive,VP,Senior,Shared,17,Ineligible
203,127850,134027,62558,69622,Switzerland,Associate,5,2,Neutral,Real Estate,Junior,Junior,Cubicle,16,Ineligible
204,84518,90156,23803,25352,Switzerland,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,26,Ineligible
207,88526,91341,23450,33631,Switzerland,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,11,Ineligible
209,85211,91636,23376,27510,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,32,Ineligible
221,91671,87717,28325,25611,Switzerland,Analyst,2,0,Positive,Aerospace,Junior,Junior,Cubicle,35,Ineligible
