ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
5,71521,73752,25712,24202,UK,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,24,Ineligible
12,73087,76539,23261,25523,UK,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,15,Ineligible
15,87965,96589,27719,27755,UK,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,34,Ineligible
16,76298,74871,27504,23397,UK,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,30,Ineligible
17,141997,155450,72092,80307,UK,Associate,5,3,Positive,Law,Junior,Junior,Cubicle,45,Ineligible
18,131847,143524,70594,72414,UK,Associate,4,3,Positive,Retail,Junior,Junior,Cubicle,1,Ineligible
21,110346,121010,58174,63142,UK,Associate,5,1,Neutral,CPG,Junior,Junior,Cubicle,37,Ineligible
31,77279,82459,23203,28216,UK,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,15,Ineligible
32,90719,98054,26856,30953,UK,Analyst,2,0,Positive,Aerospace,Junior,Junior,Cubicle,44,Ineligible
39,3496333,4573987,10531887,13787934,UK,MD,18,376,Neutral,Media,Executive,Senior,Corner,47,Ineligible
41,69201,73673,21725,23050,UK,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,37,Ineligible
42,406625,456605,335036,376030,UK,VP,12,28,Neutral,Pharma,VP,Senior,Shared,27,Ineligible
46,131299,143369,69837,66487,UK,Associate,6,2,Neutral,Retail,Junior,Junior,Cubicle,39,Ineligible
47,95314,100943,33007,29511,UK,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,23,Ineligible
59,72003,83252,23869,27933,UK,Analyst,3,0,Negative,Automotive,Junior,Junior,Cubicle,47,Ineligible
60,75294,82102,22363,23608,UK,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,33,Ineligible
62,65059,70554,17607,20699,UK,Analyst,2,0,Negative,Aerospace,Junior,Junior,Cubicle,32,Ineligible
71,438095,509650,346845,403203,UK,VP,12,32,Neutral,Aerospace,VP,Senior,Shared,27,Ineligible
72,86172,97896,25357,22721,UK,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,14,Ineligible
76,430121,461692,326737,352419,UK,VP,14,30,Neutral,Pharma,VP,Senior,Shared,7,Ineligible
83,88940,98454,23293,31048,UK,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,33,Ineligible
86,68336,70763,20861,21945,UK,Analyst,1,0,Neutral,Law,Junior,Junior,Cubicle,24,Ineligible
89,89270,100239,29867,29889,UK,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,28,Ineligible
91,97517,102527,30967,31815,UK,Analyst,3,0,Positive,CPG,Junior,Junior,Cubicle,34,Ineligible
92,3320758,4358912,10047139,12967993,UK,MD,22,351,Positive,Automotive,Executive,Senior,Corner,9,Eligible
95,448339,542281,364317,439821,UK,VP,13,31,Positive,CPG,VP,Senior,Shared,4,Ineligible
96,124442,133834,61690,71926,UK,Associate,5,1,Positive,CPG,Junior,Junior,Cubicle,25,Ineligible
102,74256,81972,20162,26888,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,21,Ineligible
103,105547,108558,52648,57895,UK,Associate,4,2,Neutral,Aerospace,Junior,Junior,Cubicle,46,Ineligible
105,67613,73502,19544,20132,UK,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,19,Ineligible
106,93924,101215,29486,32227,UK,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,37,Ineligible
111,84919,89790,21699,30946,UK,Analyst,2,0,Positive,Aerospace,Junior,Junior,Cubicle,28,Ineligible
116,142056,150905,74264,79659,UK,Associate,4,4,Positive,Media,Junior,Junior,Cubicle,13,Ineligible
121,91436,93521,26631,28916,UK,Analyst,2,0,Positive,CPG,Junior,Junior,Cubicle,12,Ineligible
122,70498,75580,20298,25704,UK,Analyst,1,0,Neutral,Law,Junior,Junior,Cubicle,28,Ineligible
124,488585,527310,407434,427860,UK,VP,12,36,Positive,Pharma,VP,Senior,Shared,9,Ineligible
137,94352,100661,30055,30213,UK,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,34,Ineligible
138,93541,99103,29299,32888,UK,Analyst,2,0,Positive,Industrials,Junior,Junior,Cubicle,28,Ineligible
140,71979,75210,23727,23182,UK,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,35,Ineligible
145,73288,75392,22238,21964,UK,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,43,Ineligible
146,73933,73212,23933,20667,UK,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,33,Ineligible
149,435269,495822,350647,378603,UK,VP,12,32,Neutral,Industrials,VP,Senior,Shared,36,Ineligible
151,163323,173922,79418,87234,UK,Associate,6,4,Positive,Law,Junior,Junior,Cubicle,12,Ineligible
152,69251,61587,17533,16595,UK,Analyst,2,0,Neutral,Aerospace,Junior,Junior,Cubicle,43,Ineligible
154,79270,83805,23376,27381,UK,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,10,Ineligible
159,3070011,3595717,9344334,10622274,UK,MD,18,325,Positive,Automotive,Executive,Senior,Corner,44,Ineligible
165,3365644,3949142,10222142,11882814,UK,MD,20,359,Neutral,Tech,Executive,Senior,Corner,29,Ineligible
166,76728,75436,23243,24029,UK,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,11,Ineligible
171,440980,501364,346091,413841,UK,VP,12,31,Positive,CPG,VP,Senior,Shared,22,Ineligible
173,69490,72968,19283,19294,UK,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,8,Ineligible
184,93182,94769,34363,23018,UK,Analyst,3,0,Positive,Aerospace,Junior,Junior,Cubicle,45,Ineligible
190,86651,91576,26950,22753,UK,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,10,Ineligible
199,81489,84522,25985,23567,UK,Analyst,3,0,Neutral,Aerospace,Junior,Junior,Cubicle,18,Ineligible
205,3428505,4297127,10368039,13084587,UK,MD,19,368,Neutral,Law,Executive,Senior,Corner,38,Ineligible
208,77492,80029,21273,21920,UK,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,43,Ineligible
211,81629,87801,25452,31571,UK,Analyst,1,0,Positive,CPG,Junior,Junior,Cubicle,30,Ineligible
214,85524,96322,23995,26738,UK,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,41,Ineligible
216,77669,77832,22969,25765,UK,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,2,Ineligible
217,77260,88313,22661,28487,UK,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,11,Ineligible
220,132266,141438,65196,78698,UK,Associate,4,3,Positive,Automotive,Junior,Junior,Cubicle,20,Ineligible
226,437771,507191,338516,415750,UK,VP,10,32,Positive,Retail,VP,Senior,Shared,28,Ineligible
227,73382,78073,20225,21121,UK,Analyst,1,0,Neutral,Retail,Junior,Junior,Cubicle,25,Ineligible
230,63880,71852,19831,22577,UK,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,29,Ineligible
232,71144,82396,19301,25115,UK,Analyst,1,0,Neutral,Retail,Junior,Junior,Cubicle,9,Ineligible
236,76230,81024,23964,23624,UK,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,42,Ineligible
237,146638,154646,69875,76341,UK,Associate,6,3,Positive,CPG,Junior,Junior,Cubicle,12,Ineligible
239,89153,91904,22254,26956,UK,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,2,Ineligible
240,429416,532264,353051,410512,UK,VP,11,32,Neutral,Law,VP,Senior,Shared,27,Ineligible
251,88014,96041,32058,31344,UK,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,34,Ineligible
252,95782,110652,32906,34128,UK,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,6,Ineligible
254,134436,143900,66689,68015,UK,Associate,4,3,Positive,Automotive,Junior,Junior,Cubicle,46,Ineligible
256,67146,73285,20708,22209,UK,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,32,Ineligible
259,69960,74130,17250,22287,UK,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,8,Ineligible
260,116090,127498,55261,64627,UK,Associate,5,2,Neutral,Media,Junior,Junior,Cubicle,17,Ineligible
270,442511,481860,349275,377183,UK,VP,12,30,Positive,Media,VP,Senior,Shared,45,Ineligible
277,3346199,4097698,10088862,12113585,UK,MD,19,357,Neutral,Aerospace,Executive,Senior,Corner,23,Ineligible
281,82487,83473,27392,24451,UK,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,32,Ineligible
282,69564,77988,22710,24373,UK,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,25,Ineligible
299,78018,83868,26660,27038,UK,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,6,Ineligible
302,90237,92135,28685,30244,UK,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,25,Ineligible
306,74605,79718,22809,23101,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,26,Ineligible
312,124848,124168,57491,71993,UK,Associate,6,3,Negative,CPG,Junior,Junior,Cubicle,6,Ineligible
332,83437,87355,27477,23130,UK,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,6,Ineligible
337,89689,102149,23767,33794,UK,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,7,Ineligible
341,3472922,4398761,10558472,13225340,UK,MD,21,370,Positive,Aerospace,Executive,Senior,Corner,38,Eligible
345,91254,102711,27307,27793,UK,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,43,Ineligible
346,66058,74825,19448,23636,UK,Analyst,1,0,Neutral,Law,Junior,Junior,Cubicle,19,Ineligible
347,71240,75213,22220,22840,UK,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,32,Ineligible
354,126271,139450,59693,70041,UK,Associate,7,1,Neutral,Aerospace,Junior,Junior,Cubicle,23,Ineligible
357,80120,84451,24954,25482,UK,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,39,Ineligible
368,87648,93570,28204,27098,UK,Analyst,1,0,Positive,Law,Junior,Junior,Cubicle,36,Ineligible
374,82735,84838,25533,22859,UK,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,32,Ineligible
386,92024,101906,28622,26925,UK,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,26,Ineligible
389,74802,88034,24435,29218,UK,Analyst,3,0,Negative,Industrials,Junior,Junior,Cubicle,37,Ineligible
390,130874,136131,64106,74853,UK,Associate,7,2,Neutral,Media,Junior,Junior,Cubicle,37,Ineligible
394,77426,81176,24674,30074,UK,Analyst,3,0,Neutral,Media,Junior,Junior,Cubicle,6,Ineligible
398,73448,81903,18047,27594,UK,Analyst,2,0,Negative,Pharma,Junior,Junior,Cubicle,44,Ineligible
403,403081,473510,320657,353928,UK,VP,11,29,Neutral,Aerospace,VP,Senior,Shared,28,Ineligible
404,77842,84588,21298,27577,UK,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,46,Ineligible
405,74191,74504,21497,25901,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,8,Ineligible
406,86821,94827,22005,31156,UK,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,29,Ineligible
408,409416,488995,352027,385417,UK,VP,8,30,Positive,Real Estate,VP,Senior,Shared,40,Ineligible
410,84594,82019,27431,26766,UK,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,29,Ineligible
411,424766,461450,342392,368883,UK,VP,12,29,Positive,Industrials,VP,Senior,Shared,9,Ineligible
412,376741,415983,282434,335103,UK,VP,10,27,Negative,Tech,VP,Senior,Shared,21,Ineligible
416,99988,97141,31332,28266,UK,Analyst,3,0,Positive,Retail,Junior,Junior,Cubicle,5,Ineligible
417,74967,75082,20727,22748,UK,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,33,Ineligible
419,415586,491987,314751,413662,UK,VP,14,28,Neutral,Industrials,VP,Senior,Shared,9,Ineligible
420,446133,475223,355032,387072,UK,VP,13,30,Positive,Retail,VP,Senior,Shared,39,Ineligible
422,83135,91498,26534,26596,UK,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,42,Ineligible
426,2952353,3708768,8850425,11227849,UK,MD,19,310,Positive,Media,Executive,Senior,Corner,46,Ineligible
428,150825,158426,76480,74908,UK,Associate,5,4,Positive,Aerospace,Junior,Junior,Cubicle,7,Ineligible
430,141376,149365,72189,76097,UK,Associate,5,4,Neutral,Pharma,Junior,Junior,Cubicle,14,Ineligible
434,88510,98969,23502,32835,UK,Analyst,2,0,Positive,CPG,Junior,Junior,Cubicle,12,Ineligible
448,115914,124434,57352,67967,UK,Associate,4,2,Neutral,Automotive,Junior,Junior,Cubicle,29,Ineligible
455,86879,93455,25260,33226,UK,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,43,Ineligible
459,70709,71166,19495,23091,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,7,Ineligible
463,87926,88456,23465,29668,UK,Analyst,2,0,Positive,Industrials,Junior,Junior,Cubicle,43,Ineligible
466,84537,90268,23679,29517,UK,Analyst,2,0,Positive,Aerospace,Junior,Junior,Cubicle,36,Ineligible
468,69856,74991,22341,28080,UK,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,16,Ineligible
476,70426,71861,18664,24317,UK,Analyst,1,0,Neutral,Industrials,Junior,Junior,Cubicle,13,Ineligible
481,111749,117636,60507,55889,UK,Associate,5,1,Neutral,Tech,Junior,Junior,Cubicle,28,Ineligible
484,63666,68343,17862,23068,UK,Analyst,1,0,Neutral,Retail,Junior,Junior,Cubicle,29,Ineligible
485,68028,78227,18909,24522,UK,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,7,Ineligible
492,72898,78742,19418,19172,UK,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,42,Ineligible
504,70795,70391,19777,20349,UK,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,36,Ineligible
509,86739,95831,26270,23716,UK,Analyst,1,0,Positive,Tech,Junior,Junior,Cubicle,4,Ineligible
511,130528,130522,64622,70819,UK,Associate,4,2,Positive,Aerospace,Junior,Junior,Cubicle,31,Ineligible
513,128744,134928,56481,67411,UK,Associate,5,3,Neutral,CPG,Junior,Junior,Cubicle,44,Ineligible
514,75461,73808,22578,24099,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,39,Ineligible
518,71254,74244,22259,22044,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,47,Ineligible
522,88584,95506,19636,30599,UK,Analyst,2,0,Positive,CPG,Junior,Junior,Cubicle,30,Ineligible
525,94847,103725,31529,31213,UK,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,8,Ineligible
528,86973,89070,25318,29030,UK,Analyst,1,0,Positive,Retail,Junior,Junior,Cubicle,20,Ineligible
554,129610,147223,74633,69874,UK,Associate,5,4,Neutral,Automotive,Junior,Junior,Cubicle,46,Ineligible
561,133122,131276,68772,65857,UK,Associate,5,3,Neutral,Pharma,Junior,Junior,Cubicle,42,Ineligible
565,431429,482354,344849,390316,UK,VP,11,30,Positive,Industrials,VP,Senior,Shared,19,Ineligible
569,135421,153301,66544,82903,UK,Associate,5,2,Positive,Pharma,Junior,Junior,Cubicle,7,Ineligible
570,85640,91763,22008,26327,UK,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,24,Ineligible
577,407193,448851,318899,351586,UK,VP,10,28,Positive,Industrials,VP,Senior,Shared,46,Ineligible
579,83212,92990,23634,24844,UK,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,31,Ineligible
587,73226,78338,17631,19401,UK,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,14,Ineligible
592,58296,60223,19168,17890,UK,Analyst,2,0,Negative,Retail,Junior,Junior,Cubicle,1,Ineligible
594,72610,76902,23728,21364,UK,Analyst,2,0,Neutral,CPG,Junior,Junior,Cubicle,37,Ineligible
596,89142,93101,28882,28978,UK,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,25,Ineligible
597,429851,489225,340037,397512,UK,VP,12,31,Neutral,Media,VP,Senior,Shared,19,Ineligible
600,79809,87775,28036,24760,UK,Analyst,2,0,Positive,Industrials,Junior,Junior,Cubicle,20,Ineligible
602,461032,495879,381526,392623,UK,VP,13,32,Positive,Industrials,VP,Senior,Shared,34,Ineligible
604,88201,94679,24694,28995,UK,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,44,Ineligible
611,89994,96406,25914,30873,UK,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,39,Ineligible
618,126502,128783,59375,63485,UK,Associate,4,2,Positive,Industrials,Junior,Junior,Cubicle,4,Ineligible
628,410627,468581,313569,364847,UK,VP,9,31,Neutral,Pharma,VP,Senior,Shared,18,Ineligible
629,438082,479127,332768,383954,UK,VP,11,31,Positive,Retail,VP,Senior,Shared,23,Ineligible
636,74130,79487,19028,21194,UK,Analyst,2,0,Neutral,Aerospace,Junior,Junior,Cubicle,26,Ineligible
639,80885,85691,22269,26855,UK,Analyst,2,0,Neutral,Industrials,Junior,Junior,Cubicle,22,Ineligible
642,71813,74951,21199,21386,UK,Analyst,1,0,Neutral,CPG,Junior,Junior,Cubicle,9,Ineligible
644,88790,98914,22452,31870,UK,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,4,Ineligible
649,143165,158377,67096,74591,UK,Associate,6,3,Positive,Aerospace,Junior,Junior,Cubicle,15,Ineligible
651,3434844,4219052,10155702,12586715,UK,MD,21,365,Positive,Pharma,Executive,Senior,Corner,1,Eligible
654,78246,81485,23195,25355,UK,Analyst,3,0,Neutral,Law,Junior,Junior,Cubicle,5,Ineligible
661,91424,86753,28593,24614,UK,Analyst,2,0,Positive,CPG,Junior,Junior,Cubicle,41,Ineligible
662,73888,79217,20729,20176,UK,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,20,Ineligible
666,3318828,4163412,10059733,12437399,UK,MD,19,352,Positive,Pharma,Executive,Senior,Corner,22,Ineligible
669,74071,71713,20616,18852,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,27,Ineligible
672,3019072,4015416,8836394,12075079,UK,MD,22,317,Neutral,Law,Executive,Senior,Corner,36,Eligible
674,95336,93806,29008,25928,UK,Analyst,3,0,Positive,Retail,Junior,Junior,Cubicle,19,Ineligible
678,138210,147901,67780,80135,UK,Associate,5,3,Positive,Pharma,Junior,Junior,Cubicle,39,Ineligible
697,386105,425863,287313,331658,UK,VP,11,27,Neutral,Retail,VP,Senior,Shared,26,Ineligible
699,134777,142646,69078,67065,UK,Associate,5,4,Neutral,Tech,Junior,Junior,Cubicle,31,Ineligible
703,87425,94005,27509,28113,UK,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,16,Ineligible
708,3540357,4030867,10714146,12054291,UK,MD,19,379,Positive,Media,Executive,Senior,Corner,7,Ineligible
709,70346,80445,20840,26087,UK,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,23,Ineligible
710,76472,77076,24608,23202,UK,Analyst,1,0,Positive,Industrials,Junior,Junior,Cubicle,31,Ineligible
711,79469,77934,27091,27158,UK,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,7,Ineligible
715,79582,78807,27799,23560,UK,Analyst,2,0,Neutral,Automotive,Junior,Junior,Cubicle,36,Ineligible
716,97802,99723,26743,25464,UK,Analyst,3,0,Positive,Retail,Junior,Junior,Cubicle,14,Ineligible
718,451743,479127,377592,394730,UK,VP,13,33,Neutral,Real Estate,VP,Senior,Shared,47,Ineligible
723,152734,163817,78653,80988,UK,Associate,5,4,Positive,Real Estate,Junior,Junior,Cubicle,11,Ineligible
725,79206,87557,22613,26856,UK,Analyst,1,0,Positive,Pharma,Junior,Junior,Cubicle,2,Ineligible
726,73457,74390,22183,26093,UK,Analyst,1,0,Positive,Retail,Junior,Junior,Cubicle,19,Ineligible
733,86855,89708,27714,28158,UK,Analyst,2,0,Positive,Aerospace,Junior,Junior,Cubicle,43,Ineligible
737,418973,457655,333362,367482,UK,VP,11,30,Neutral,Automotive,VP,Senior,Shared,16,Ineligible
739,95806,104536,31462,32735,UK,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,37,Ineligible
749,71912,85353,20459,27276,UK,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,43,Ineligible
751,84338,86532,22572,22074,UK,Analyst,2,0,Positive,Automotive,Junior,Junior,Cubicle,41,Ineligible
752,76787,77993,22276,23320,UK,Analyst,2,0,Neutral,Aerospace,Junior,Junior,Cubicle,37,Ineligible
754,71230,74847,23187,20390,UK,Analyst,2,0,Neutral,Aerospace,Junior,Junior,Cubicle,18,Ineligible
757,77395,84483,22566,30915,UK,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,14,Ineligible
758,3448158,4586157,10143405,13956509,UK,MD,19,368,Positive,CPG,Executive,Senior,Corner,6,Ineligible
763,129110,136306,62380,67708,UK,Associate,3,4,Neutral,Tech,Junior,Junior,Cubicle,38,Ineligible
766,432207,491661,342606,392069,UK,VP,9,32,Positive,Retail,VP,Senior,Shared,5,Ineligible
774,85867,95347,23955,24534,UK,Analyst,2,0,Positive,Industrials,Junior,Junior,Cubicle,8,Ineligible
776,124940,135335,72413,64596,UK,Associate,4,3,Neutral,Industrials,Junior,Junior,Cubicle,20,Ineligible
777,117705,125796,54837,63913,UK,Associate,5,2,Neutral,Industrials,Junior,Junior,Cubicle,3,Ineligible
